Zillow zpid,Street Address,City,Zip Code,State,Status,Neighborhood,Type,Number of Beds,Number of Bathrooms,price,Property Value Estimate,Property Rent Estimate,Days on Zillow,Time on Zillow,brokerageName,Date_Posted,Last Sold Price,Lot Size,Lot Area Value,lot Area Units,Year Built,CountyID,ThirtyYearFixedRate,ParcelID,countyFIPS
1697595,3049 Central Ave NE,Minneapolis,55418,MN,FOR_SALE,Audubon Park,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$459900,$448400,$2262,71 Days,71 days,Ewing Real Estate Group,2023-12-08,$135000,4791,4791.6,Square Feet,1913,2339,6.58,102924000000,27053
1801071,4051 Nokomis Ave S,Minneapolis,55406,MN,FOR_SALE,Standish,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$765750,$771900,$1950,7 Days,7 days,Lakes Area Realty  G.V.,2024-02-10,$130000,5227,5227.2,Square Feet,2024,2339,6.615,1202820000000,27053
1791090,3904 Oakland Ave,Minneapolis,55407,MN,FOR_SALE,Bryant,SINGLE_FAMILY,2 Bedrooms,2  Bathrooms,$269900,UNKNOWN,UNKNOWN,11 Days,11 days,Land of Lakes Rlty,2024-02-06,$50000,4791,4791.6,Square Feet,1916,2339,6.58,1102820000000,27053
1710618,3036 Clinton Ave,Minneapolis,55408,MN,FOR_SALE,Central,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$299900,$294800,$2495,30 Days,30 days,REMAX Advantage Plus,2024-01-18,$155500,5227,5227.2,Square Feet,1909,2339,6.58,302824000000,27053
1796211,5100 Washburn Ave N,Minneapolis,55430,MN,FOR_SALE,Shingle Creek,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$229900,$226500,$1599,24 Days,24 days,NextHome Metro Real Estate Services,2024-01-24,$72000,5227,5227.2,Square Feet,1952,2339,NULL,1111820000000,27053
1849994,2031 Queen Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$330000,UNKNOWN,$2768,23 Days,23 days,eXp Realty,2024-01-25,$5000,5227,5227.2,Square Feet,2024,2339,6.58,1702920000000,27053
1850008,1914 Russell Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$225000,$227100,$1862,8 Days,8 days,Homefield Realty,2024-02-09,$12500,5227,5227.2,Square Feet,1912,2339,NULL,1702920000000,27053
1712947,3827 N 6th St,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$189900,$188300,$1835,29 Days,29 days,REMAX Advantage Plus,2024-01-20,$94250,6098,6098.4,Square Feet,1905,2339,NULL,302924000000,27053
1774150,3114 Morgan Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$189900,$187700,$2160,30 Days,30 days,REMAX Advantage Plus,2024-01-18,$101000,5227,5227.2,Square Feet,1919,2339,NULL,902924000000,27053
1774957,2931 Fremont Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$219900,$222900,$2340,24 Days,24 days,REMAX Advantage Plus,2024-01-24,$117000,7405,7405.2,Square Feet,1889,2339,NULL,902924000000,27053
