Zillow zpid,Street Address,City,Zip Code,State,Status,Neighborhood,Type,Number of Beds,Number of Bathrooms,price,Property Value Estimate,Property Rent Estimate,Days on Zillow,Time on Zillow,brokerageName,Date_Posted,Last Sold Price,Lot Size,Lot Area Value,lot Area Units,Year Built,CountyID,ThirtyYearFixedRate,ParcelID,countyFIPS
1790868,3800 11th Ave S,Minneapolis,55407,MN,FOR_SALE,Bancroft,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$399900,UNKNOWN,$2500,25 Days,25 days,Realty Group LLC,2024-01-23,$242500,5227,5227.2,Square Feet,1908,2339,6.58,1102820000000,27053
1840198,1424 Girard Ave N,Minneapolis,55411,MN,FOR_SALE,Near North,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$224650,$214100,$2666,148 Days,148 days,Coldwell Banker Realty,2023-09-22,$65000,3920,3920.4,Square Feet,1900,2339,NULL,1602920000000,27053
1717759,3125 E Bde Maka Ska Pkwy,Minneapolis,55408,MN,FOR_SALE,East Calhoun,SINGLE_FAMILY,5 Bedrooms,5  Bathrooms,$2099000,$2079100,$11001,16 Days,16 days,Compass,2024-02-01,$1825000,8712,8712,Square Feet,1902,2339,6.894,402824000000,27053
1830920,2222 N 4th St,Minneapolis,55411,MN,FOR_SALE,Hawthorne,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$324950,UNKNOWN,$2656,128 Days,128 days,"Bridge Realty, LLC",2023-10-12,$1000,6098,6098.4,Square Feet,2023,2339,6.58,1502920000000,27053
1808487,4811 Fremont Ave N,Minneapolis,55430,MN,FOR_SALE,Lind-Bohanon,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$249900,$243300,$1994,31 Days,31 days,Renters Warehouse,2024-01-17,$135000,6450,6450,Square Feet,1952,2339,NULL,1211820000000,27053
1812593,755 Fillmore St NE,Minneapolis,55413,MN,FOR_SALE,Beltrami,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$390000,$332700,$1214,7 Days,7 days,JPW Realty,2024-02-10,$291400,0,0.11,Square Feet,1900,2339,6.58,1302920000000,27053
1717803,3217 Holmes Ave S,Minneapolis,55408,MN,FOR_SALE,East Calhoun,SINGLE_FAMILY,5 Bedrooms,4  Bathrooms,$725000,$717900,$3711,16 Days,16 days,Lakes Area Realty,2024-02-01,UNKNOWN,5227,5227.2,Square Feet,1909,2339,6.615,402824000000,27053
1876387,1026 19th Ave SE,Minneapolis,55414,MN,FOR_SALE,Southeast Como,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$395000,$398200,$2949,9 Days,9 days,Empire Realty LLC,2024-02-08,$237000,5662,5662.8,Square Feet,1909,2339,6.58,1902920000000,27053
1790944,3813 Chicago Ave,Minneapolis,55407,MN,FOR_SALE,Bancroft,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$309900,UNKNOWN,UNKNOWN,18 Days,18 days,"Bridge Realty, LLC",2024-01-30,$241000,5662,5662.8,Square Feet,1904,2339,6.58,1102820000000,27053
101667031,1114 50th Ave N,Minneapolis,55430,MN,FOR_SALE,Lind-Bohanon,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$359900,$350300,$3194,176 Days,176 days,eXp Realty,2023-08-26,$446000,5227,5227.2,Square Feet,2021,2339,6.58,1211820000000,27053
1959989,1237 Cedar Lake Rd S,Minneapolis,55416,MN,FOR_SALE,Bryn Mawr,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$584900,UNKNOWN,UNKNOWN,32 Days,32 days,"Edina Realty, Inc.",2024-01-16,$500000,5227,5227.2,Square Feet,1948,2339,6.615,2902920000000,27053
1795985,2317 53rd Ave N,Minneapolis,55430,MN,FOR_SALE,Shingle Creek,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$249900,$245900,$1975,38 Days,38 days,REMAX Professionals,2024-01-10,$87000,5913,5913,Square Feet,1959,2339,NULL,1111820000000,27053
1991145,2811 Sunset Blvd,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,6 Bedrooms,6  Bathrooms,$1349000,$1334600,$7294,12 Days,12 days,Coldwell Banker Realty,2024-02-05,$450000,8276,8276.4,Square Feet,1931,2339,6.894,3202920000000,27053
1762435,3216 Sheridan Ave N,Minneapolis,55412,MN,FOR_SALE,Cleveland,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$189900,$187000,$1834,30 Days,30 days,REMAX Advantage Plus,2024-01-18,$92000,5120,5120,Square Feet,1917,2339,NULL,802924000000,27053
1808374,4823 Bryant Ave N,Minneapolis,55430,MN,FOR_SALE,Lind-Bohanon,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$255000,$244300,$2025,99 Days,99 days,eXp Realty,2023-11-10,$212221,5227,5227.2,Square Feet,1913,2339,6.58,1211820000000,27053
1736394,3109 31st Ave S,Minneapolis,55406,MN,FOR_SALE,Longfellow,SINGLE_FAMILY,6 Bedrooms,3  Bathrooms,$430000,$419600,$3326,33 Days,33 days,Realty Group LLC,2024-01-15,$269000,5662,5662.8,Square Feet,1900,2339,6.58,602823000000,27053
1850575,1606 Thomas Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$209900,$203600,$1931,30 Days,30 days,REMAX Advantage Plus,2024-01-18,$89000,5227,5227.2,Square Feet,1921,2339,NULL,1702920000000,27053
2009976,2619 Pleasant Ave,Minneapolis,55408,MN,FOR_SALE,Whittier,MULTI_FAMILY,5 Bedrooms,2  Bathrooms,$415000,$410600,$3194,16 Days,16 days,Side by Side Realty LLC,2024-02-01,$377500,6969,6969.6,Square Feet,1900,2339,6.58,3402920000000,27053
2000939,2130 Lake Of Isles Pkwy W,Minneapolis,55405,MN,FOR_SALE,Kenwood,SINGLE_FAMILY,6 Bedrooms,7  Bathrooms,$3695000,$3386400,$19213,172 Days,172 days,Coldwell Banker Realty,2023-08-29,$3500000,11761,0.27,Acres,1922,2339,6.894,3302920000000,27053
1876644,890 22nd Ave SE,Minneapolis,55414,MN,FOR_SALE,Southeast Como,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$399000,UNKNOWN,$2949,75 Days,75 days,Realty Group LLC,2023-12-04,$220000,5227,5227.2,Square Feet,1927,2339,6.58,1902920000000,27053
1991052,3311 Cedar Lake Ave,Minneapolis,55416,MN,FOR_SALE,Cedar-Isles-Dean,SINGLE_FAMILY,2 Bedrooms,2  Bathrooms,$719900,$690300,$3991,114 Days,114 days,"Bridge Realty, LLC",2023-10-26,$475000,4356,4356,Square Feet,1909,2339,6.615,3202920000000,27053
2009650,2217 Harriet Ave,Minneapolis,55405,MN,FOR_SALE,Whittier,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$392000,$384500,$2949,15 Days,15 days,Empire Realty LLC,2024-02-02,$240000,5227,5227.2,Square Feet,1910,2339,6.58,3402920000000,27053
1775242,2803 Aldrich Ave N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$284900,UNKNOWN,$2381,141 Days,141 days,"Sandy Green Realty, Inc.",2023-09-29,$60000,5227,5227.2,Square Feet,2023,2339,6.58,902924000000,27053
1762033,3519 Upton Ave N,Minneapolis,55412,MN,FOR_SALE,Cleveland,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$189900,$186700,$1798,28 Days,28 days,REMAX Advantage Plus,2024-01-20,$117750,4791,4791.6,Square Feet,1923,2339,NULL,802924000000,27053
132612988,1432 Washington St NE,Minneapolis,55413,MN,FOR_SALE,Sheridan,MULTI_FAMILY,10 Bedrooms,4  Bathrooms,$629900,UNKNOWN,$4997,46 Days,46 days,Lakes Sotheby's International Realty,2024-01-02,$71000,6098,6098.4,Square Feet,1906,2339,6.615,1402920000000,27053
1839664,1614 Oliver Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$140000,$133400,$1650,28 Days,28 days,Coldwell Banker Realty,2024-01-20,$44900,5662,5662.8,Square Feet,1900,2339,NULL,1602920000000,27053
1773285,3430 Irving Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$250000,$246500,$2095,45 Days,45 days,Keller Williams Realty Integrity-Edina,2024-01-03,$179000,4791,4791.6,Square Feet,1922,2339,NULL,902924000000,27053
1710898,3209 Clinton Ave,Minneapolis,55408,MN,FOR_SALE,Central,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$275000,$266300,$2269,120 Days,120 days,REMAX Results,2023-10-20,$61500,5662,5662.8,Square Feet,1915,2339,6.58,302824000000,27053
1808398,4847 Colfax Ave N,Minneapolis,55430,MN,FOR_SALE,Lind-Bohanon,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$250000,$253300,$1994,9 Days,9 days,Keller Williams Classic Rlty NW,2024-02-08,$240000,5227,5227.2,Square Feet,1928,2339,NULL,1211820000000,27053
1830919,2218 4th St N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$324950,UNKNOWN,$2677,121 Days,121 days,"Bridge Realty, LLC",2023-10-19,$26000,0,0.14,Square Feet,2023,2339,6.58,1502920000000,27053
1719413,4215 Irving Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$133000,$133800,$1650,12 Days,12 days,Leading Edge Realty,2024-02-06,$124500,6098,6098.4,Square Feet,1909,2339,NULL,402924000000,27053
1774190,3105 Morgan Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$175000,$171700,$2190,36 Days,36 days,Keller Williams Integrity Realty,2024-01-12,$64000,5227,5227.2,Square Feet,1900,2339,NULL,902924000000,27053
2062941382,2427 E Lake Of The Isles Pkwy,Minneapolis,55405,MN,FOR_SALE,East Isles,SINGLE_FAMILY,4 Bedrooms,8  Bathrooms,$3495000,$3430100,$18223,129 Days,129 days,Lakes Sotheby's International Realty,2023-10-11,$4000000,18295,0.42,Acres,1911,2339,6.894,NULL,NULL
2017532,2736 17th Ave S,Minneapolis,55407,MN,FOR_SALE,East Phillips,MULTI_FAMILY,3 Bedrooms,2  Bathrooms,$219900,$220600,$2180,9 Days,9 days,"Bridge Realty, LLC",2024-02-08,$140000,3484,3484.8,Square Feet,1979,2339,NULL,3502920000000,27053
2017553,2642 16th Ave S,Minneapolis,55407,MN,FOR_SALE,East Phillips,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$274900,$265100,$2495,71 Days,71 days,REMAX Results,2023-12-09,$350,6969,6969.6,Square Feet,1900,2339,6.58,3502920000000,27053
1795611,5150 Irving Ave N,Minneapolis,55430,MN,FOR_SALE,Shingle Creek,SINGLE_FAMILY,4 Bedrooms,2  Bathrooms,$240500,UNKNOWN,$1975,34 Days,34 days,REMAX Results,2024-01-14,$116000,5227,5227.2,Square Feet,1964,2339,NULL,1111820000000,27053
1763578,3020 Queen Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$149900,$141900,$1681,162 Days,162 days,REMAX Results,2023-09-08,$50000,5227,5227.2,Square Feet,1900,2339,NULL,802924000000,27053
1839618,1815 Newton Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$235000,UNKNOWN,$2080,10 Days,10 days,Homefield Realty,2024-02-07,$75500,5662,5662.8,Square Feet,1921,2339,NULL,1602920000000,27053
1839330,1911 Oliver Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,3  Bathrooms,$325000,$319800,$2299,93 Days,93 days,eXp Realty,2023-11-16,$1600,5662,5662.8,Square Feet,2023,2339,6.58,1602920000000,27053
1718519,3629 Colfax Ave S,Minneapolis,55409,MN,FOR_SALE,East Harriet,MULTI_FAMILY,6 Bedrooms,2  Bathrooms,$595000,$592500,$3528,17 Days,17 days,Lakes Area Realty,2024-01-31,$315000,5227,5227.2,Square Feet,1916,2339,6.615,402824000000,27053
1772999,3246 Colfax Ave N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,1 Bedrooms,1  Bathrooms,$129900,$121800,$1539,178 Days,178 days,REMAX Results,2023-08-23,$50000,5662,5662.8,Square Feet,1920,2339,NULL,902924000000,27053
1839625,1711 Newton Ave N,Minneapolis,55411,MN,FOR_SALE,Willard Hay,SINGLE_FAMILY,3 Bedrooms,2  Bathrooms,$182000,$176200,$1999,29 Days,29 days,eXp Realty,2024-01-19,$68000,5227,5227.2,Square Feet,1920,2339,NULL,1602920000000,27053
1694993,3530 19th Ave S,Minneapolis,55407,MN,FOR_SALE,Corcoran,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$199900,$195400,$1698,29 Days,29 days,NextHome Metro Real Estate Services,2024-01-19,$102000,3049,3049.2,Square Feet,1900,2339,NULL,102824000000,27053
2016193,2207 16th Ave S,Minneapolis,55404,MN,FOR_SALE,Ventura Village,MULTI_FAMILY,9 Bedrooms,3  Bathrooms,$469000,$456600,$4300,129 Days,129 days,Home Found Group of Minnesota LLC,2023-10-11,$401000,6969,6969.6,Square Feet,1926,2339,6.58,3502920000000,27053
1713053,314 36th Ave N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$339900,UNKNOWN,$2828,216 Days,216 days,REMAX HomeMasters,2023-07-16,$21500,6534,6534,Square Feet,2023,2339,6.58,302924000000,27053
1951010,1324 Mount Curve Ave,Minneapolis,55403,MN,FOR_SALE,Lowry Hill,SINGLE_FAMILY,7 Bedrooms,7  Bathrooms,$2675000,UNKNOWN,$13046,375 Days,375 days,Coldwell Banker Realty,2023-02-07,$1825000,22215,0.51,Acres,1910,2339,6.894,2802920000000,27053
1706885,3623 3rd St NE,Minneapolis,55418,MN,FOR_SALE,Columbia Park,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$269900,$258600,$1694,42 Days,42 days,Realty Group LLC,2024-01-06,$234900,5227,5227.2,Square Feet,1942,2339,6.58,202924000000,27053
1838919,2215 Lyndale Ave N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,MULTI_FAMILY,3 Bedrooms,2  Bathrooms,$239900,$230700,$2526,113 Days,113 days,Keller Williams Classic Realty,2023-10-27,$57000,9583,9583.2,Square Feet,1907,2339,NULL,1602920000000,27053
1698172,3218 Hayes St NE,Minneapolis,55418,MN,FOR_SALE,Waite Park,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$249900,UNKNOWN,$2022,66 Days,66 days,REMAX Professionals,2023-12-13,UNKNOWN,5227,5227.2,Square Feet,1952,2339,NULL,102924000000,27053
1706140,3636 Bloomington Ave,Minneapolis,55407,MN,FOR_SALE,Powderhorn Park,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$275000,$268800,$1898,79 Days,79 days,Coldwell Banker Realty,2023-11-30,$212500,6098,6098.4,Square Feet,1917,2339,6.58,202824000000,27053
2000683,2553 Aldrich Ave S,Minneapolis,55405,MN,FOR_SALE,Lowry Hill East,MULTI_FAMILY,5 Bedrooms,3  Bathrooms,$449000,$434800,$3528,120 Days,120 days,Compass,2023-10-20,$150000,4356,4356,Square Feet,1907,2339,6.58,3302920000000,27053
1717623,1510 31st St W,Minneapolis,55408,MN,FOR_SALE,East Calhoun,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$298800,UNKNOWN,$1963,117 Days,117 days,eXp Realty,2023-10-23,$161580,2178,2178,Square Feet,1905,2339,6.58,402824000000,27053
1773551,3230 Oliver Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$149900,$147400,$1550,29 Days,29 days,REMAX Advantage Plus,2024-01-19,$48564,4791,4791.6,Square Feet,1916,2339,NULL,902924000000,27053
2023105,2642 Longfellow Ave,Minneapolis,55407,MN,FOR_SALE,East Phillips,SINGLE_FAMILY,2 Bedrooms,1  Bathrooms,$174500,$167500,$1938,60 Days,60 days,Coldwell Banker Realty,2023-12-19,$56500,4791,4791.6,Square Feet,1923,2339,NULL,3602920000000,27053
1710748,3139 2nd Ave S,Minneapolis,55408,MN,FOR_SALE,Central,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$454000,UNKNOWN,UNKNOWN,39 Days,39 days,homecoin.com,2024-01-09,$310000,0,0.14,Square Feet,1886,2339,6.58,302824000000,27053
1711244,3141 Lyndale Ave S,Minneapolis,55408,MN,FOR_SALE,Lyndale,SINGLE_FAMILY,4 Bedrooms,3  Bathrooms,$399900,$393700,$3528,30 Days,30 days,eXp Realty,2024-01-18,$165000,5227,5227.2,Square Feet,1907,2339,6.58,302824000000,27053
1898133,1816 3rd Ave N,Minneapolis,55405,MN,FOR_SALE,Harrison,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$400000,$387200,$2795,75 Days,75 days,eXp Realty,2023-12-04,$270000,6534,6534,Square Feet,1995,2339,6.58,2102920000000,27053
1830932,2219 6th St N,Minneapolis,55411,MN,FOR_SALE,Hawthorne,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$215000,$212700,$1761,16 Days,16 days,eXp Realty,2024-02-01,$195000,6534,6534,Square Feet,1900,2339,NULL,1502920000000,27053
1839093,1611 22nd Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$199900,$200600,$1794,11 Days,11 days,REMAX Results,2024-02-06,$47705,5662,5662.8,Square Feet,1906,2339,NULL,1602920000000,27053
1719298,4010 Colfax Ave N,Minneapolis,55412,MN,FOR_SALE,Webber-Camden,SINGLE_FAMILY,3 Bedrooms,1  Bathrooms,$181500,$179100,$1988,29 Days,29 days,eXp Realty,2024-01-19,$55000,6534,6534,Square Feet,1909,2339,NULL,402924000000,27053
1775143,2631 Girard Ave N,Minneapolis,55411,MN,FOR_SALE,Jordan,MULTI_FAMILY,3 Bedrooms,2  Bathrooms,$199900,$195900,$2197,51 Days,51 days,REMAX Results,2023-12-28,$75000,5227,5227.2,Square Feet,1900,2339,NULL,902924000000,27053
1712996,3742 Lyndale Ave N,Minneapolis,55412,MN,FOR_SALE,Mckinley,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$279000,$268100,$2566,173 Days,173 days,Keller Williams Integrity Realty,2023-08-28,$134000,6098,6098.4,Square Feet,1926,2339,6.58,302924000000,27053
339746412,3108 45th Ave S,Minneapolis,55406,MN,FOR_SALE,Cooper,SINGLE_FAMILY,4 Bedrooms,4  Bathrooms,$824990,$810400,$4411,30 Days,30 days,Lakes Area Realty  G.V.,2024-01-18,$190000,4791,4791.6,Square Feet,2023,2339,6.615,602823000000,27053
1720628,3714 Girard Ave N,Minneapolis,55412,MN,FOR_SALE,Folwell,SINGLE_FAMILY,5 Bedrooms,2  Bathrooms,$285000,$284700,$2557,15 Days,15 days,Keller Williams Integrity Realty,2024-02-02,$150000,5227,5227.2,Square Feet,1909,2339,6.58,402924000000,27053
2001806,2738 Colfax Ave S,Minneapolis,55408,MN,FOR_SALE,Lowry Hill East,MULTI_FAMILY,4 Bedrooms,2  Bathrooms,$435000,$435000,$3118,17 Days,17 days,Keller Williams Integrity RE,2024-01-31,$330000,5227,5227.2,Square Feet,1900,2339,6.58,3302920000000,27053
